28.02.2020 00:42:41: 0h 42min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
28.02.2020 00:42:42: 0h 42min | Donnie Turbo(76561198041233395) | noRecoil - 1
28.02.2020 01:04:38: 1h 4min | Donnie Turbo(76561198041233395) | spawning Strider (I_MRAP_03_F)
28.02.2020 01:14:05: 1h 13min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198180893505)
28.02.2020 01:15:08: 1h 14min | Donnie Turbo(76561198041233395) | Deleting I_MRAP_03_F @036009..
28.02.2020 01:22:51: 1h 22min | Donnie Turbo(76561198041233395) | Teleport to [3597.31,3332.03,0](GPS: 035002)
28.02.2020 01:24:28: 1h 24min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198041233395)
28.02.2020 01:26:30: 1h 26min | Donnie Turbo(76561198041233395) | spawning LRPS (optic_LRPS)
28.02.2020 01:28:17: 1h 27min | Donnie Turbo(76561198041233395) | DayTime
28.02.2020 01:29:59: 1h 29min | Donnie Turbo(76561198041233395) | spawning M320 LRR .408 (srifle_LRR_F)
28.02.2020 01:30:47: 1h 30min | Donnie Turbo(76561198041233395) | spawning Rangefinder (Rangefinder)
28.02.2020 01:30:49: 1h 30min | Donnie Turbo(76561198041233395) | spawning Rangefinder (Rangefinder)
28.02.2020 01:31:16: 1h 30min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:17: 1h 30min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:18: 1h 30min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:19: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:20: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:20: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:21: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:23: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:23: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:23: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:29: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:29: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:31:30: 1h 31min | Donnie Turbo(76561198041233395) | spawning .408 7Rnd LRR Mag (7Rnd_408_Mag)
28.02.2020 01:36:25: 1h 36min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198180893505)
28.02.2020 01:36:38: 1h 36min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198180893505)
28.02.2020 01:37:45: 1h 37min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198180893505)
28.02.2020 01:38:57: 1h 38min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198180893505)
28.02.2020 01:39:05: 1h 38min | Donnie Turbo(76561198041233395) | God Mode - 1
