08.02.2020 00:01:06: 3h 18min | Donnie Turbo(76561198041233395) | Teleport to [5940.84,3016.59,0](GPS: 059999)
08.02.2020 00:04:48: 3h 22min | Radzig Kobyla(76561198089960350) | infiSTAR MapIcons - 1
08.02.2020 00:04:48: 3h 22min | Radzig Kobyla(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
08.02.2020 00:09:58: 3h 27min | HoyoBani(76561198105940600) | AdminConsole
08.02.2020 00:10:07: 3h 27min | HoyoBani(76561198105940600) | AdminConsole
08.02.2020 00:10:10: 3h 27min | HoyoBani(76561198105940600) | AdminConsole
08.02.2020 00:10:50: 3h 28min | HoyoBani(76561198105940600) | Mass Message: SERVER RESTART IN 20 MINUTES FOR UPDATE!
08.02.2020 00:14:12: 3h 31min | Nino Marino(76561198206026112) | God Mode - 0
08.02.2020 00:16:41: 3h 34min | Gatsby(76561198038112694) | Added 10 whiskeys to Gatsby!
08.02.2020 00:48:34: 0h 5min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
08.02.2020 00:48:34: 0h 5min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
08.02.2020 00:48:34: 0h 5min | HoyoBani(76561198105940600) | noRecoil - 1
08.02.2020 00:48:35: 0h 5min | HoyoBani(76561198105940600) | Teleport to [5521,4313.01,0](GPS: 055012)
08.02.2020 00:48:51: 0h 5min | HoyoBani(76561198105940600) | Teleport to [3554.64,3040.66,0](GPS: 035999)
08.02.2020 00:48:57: 0h 5min | HoyoBani(76561198105940600) | Teleport to [3651.42,3244.7,0](GPS: 036001)
08.02.2020 01:03:48: 0h 3min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
08.02.2020 01:03:48: 0h 3min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
08.02.2020 01:03:48: 0h 3min | HoyoBani(76561198105940600) | noRecoil - 1
08.02.2020 01:04:09: 0h 3min | HoyoBani(76561198105940600) | Teleport to [3651.61,3235.08,0](GPS: 036001)
08.02.2020 01:49:44: 0h 4min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
08.02.2020 01:49:44: 0h 4min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
