25.02.2020 06:39:15: 0h 53min | Nino Marino(76561198206026112) | Deleting V12_DIAVEL_BR @035008..
25.02.2020 06:39:16: 0h 54min | Nino Marino(76561198206026112) | Deleting V12_YFZ450_RACE1 @035008..
25.02.2020 06:39:21: 0h 54min | Nino Marino(76561198206026112) | Deleting V12_ECLIPSEFNF1 @035008..
25.02.2020 06:39:22: 0h 54min | Nino Marino(76561198206026112) | Deleting d3s_jesko_20 @035008..
25.02.2020 06:39:25: 0h 54min | Nino Marino(76561198206026112) | Deleting V12_JETTA @035008..
25.02.2020 06:39:52: 0h 54min | HoyoBani(76561198105940600) | Vehboost - 1
25.02.2020 06:40:04: 0h 54min | HoyoBani(76561198105940600) | HealRepairNear
25.02.2020 06:41:05: 0h 55min | HoyoBani(76561198105940600) | Teleport to [3474.46,3927.21,0](GPS: 034008)
25.02.2020 06:41:44: 0h 56min | HoyoBani(76561198105940600) | Revive - civ_4(76561198180893505)
25.02.2020 06:41:55: 0h 56min | Nino Marino(76561198206026112) | Deleting Jonzie_Datsun_Z432 @034008..
25.02.2020 06:42:00: 0h 56min | Nino Marino(76561198206026112) | Deleting V12_YZF_MAT @034008..
25.02.2020 06:42:09: 0h 56min | Nino Marino(76561198206026112) | Deleting V12_YFZ450_RACE5 @034008..
25.02.2020 06:42:13: 0h 56min | HoyoBani(76561198105940600) | Vehboost - 0
25.02.2020 06:42:23: 0h 57min | HoyoBani(76561198105940600) | HealRepairNear
25.02.2020 06:42:31: 0h 57min | Nino Marino(76561198206026112) | Deleting V12_COBRA_BLEUM @035009..
25.02.2020 06:42:34: 0h 57min | Nino Marino(76561198206026112) | Deleting V12_FREIGHTLINER2 @035009..
25.02.2020 06:42:35: 0h 57min | HoyoBani(76561198105940600) | Vehboost - 1
25.02.2020 06:43:05: 0h 57min | Nino Marino(76561198206026112) | spawning Quartz Regalia [Unmarked] (d3s_QUA_Regalia_23_UNM)
25.02.2020 06:43:09: 0h 57min | HoyoBani(76561198105940600) | Teleport to [1286.47,1682.14,0](GPS: 012986)
25.02.2020 06:43:14: 0h 57min | Nino Marino(76561198206026112) | spawning APRILIA RSV4 Vert Or (V12_APRILIARSV4_VO)
25.02.2020 06:43:20: 0h 58min | HoyoBani(76561198105940600) | Teleport to [3461.76,3957.82,0](GPS: 034008)
25.02.2020 06:43:22: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 (V12_BELAIR_F)
25.02.2020 06:43:25: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 (V12_BELAIR_F)
25.02.2020 06:43:29: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 (V12_BELAIR_F)
25.02.2020 06:43:32: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 NOIR (V12_BELAIR_NOIR)
25.02.2020 06:43:33: 0h 58min | HoyoBani(76561198105940600) | Revive - civ_4(76561198180893505)
25.02.2020 06:43:34: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 JAUNE (V12_BELAIR_JAUNE)
25.02.2020 06:43:35: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 GRIS (V12_BELAIR_GRIS)
25.02.2020 06:43:36: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 GRIS BROSSER (V12_BELAIR_GNOIR)
25.02.2020 06:43:37: 0h 58min | HoyoBani(76561198105940600) | Teleport - Target To Me - Stanley Thompson [1K-75] [CIV](76561198180893505)
25.02.2020 06:43:38: 0h 58min | Nino Marino(76561198206026112) | spawning CHEVROLET BEL AIR 1957 BLEU (V12_BELAIR_BLEU)
25.02.2020 06:43:46: 0h 58min | HoyoBani(76561198105940600) | Revive - civ_4(76561198180893505)
25.02.2020 06:44:01: 0h 58min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT (V12_FREIGHTLINER_F)
25.02.2020 06:44:02: 0h 58min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT Noir (V12_FREIGHTLINER)
25.02.2020 06:44:03: 0h 58min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT Rouge (V12_FREIGHTLINER1)
25.02.2020 06:44:05: 0h 58min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT Bleu (V12_FREIGHTLINER2)
25.02.2020 06:44:05: 0h 58min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT Blanche (V12_FREIGHTLINER3)
25.02.2020 06:44:05: 0h 58min | Nino Marino(76561198206026112) | spawning FREIGHTLINER TRANSPORT Orange (V12_FREIGHTLINER4)
25.02.2020 06:44:34: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_BELAIR_GNOIR @035008..
25.02.2020 06:44:45: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_APRILIARSV4_VO @035008..
25.02.2020 06:44:46: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_BELAIR_GRIS @035008..
25.02.2020 06:44:48: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_FREIGHTLINER @035008..
25.02.2020 06:44:51: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_BELAIR_BLEUF @035009..
25.02.2020 06:45:00: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_BELAIR_BLEU @035008..
25.02.2020 06:45:02: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_BELAIR_NOIR @035008..
25.02.2020 06:45:05: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_FREIGHTLINER3 @035008..
25.02.2020 06:45:08: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_FREIGHTLINER4 @035008..
25.02.2020 06:45:12: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_FREIGHTLINER1 @035008..
25.02.2020 06:45:15: 0h 59min | Nino Marino(76561198206026112) | Deleting V12_BELAIR_JAUNE @035008..
25.02.2020 06:45:18: 0h 60min | Nino Marino(76561198206026112) | Deleting V12_FREIGHTLINER2 @035008..
25.02.2020 06:46:08: 1h 0min | HoyoBani(76561198105940600) | Deleting V12_RT @035009..
25.02.2020 06:47:04: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia D-Type ''Gold Edition'' (d3s_QUA_Regalia_23_D_EX)
25.02.2020 06:47:05: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia D-Type ''Special Edition'' (d3s_QUA_Regalia_23_D_SE)
25.02.2020 06:47:09: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia ''Gold Edition'' (d3s_QUA_Regalia_23_EX)
25.02.2020 06:47:10: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia D-Type [Unmarked] (d3s_QUA_Regalia_23_D_UNM)
25.02.2020 06:47:12: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia D-Type [Police] (d3s_QUA_Regalia_23_D_COP)
25.02.2020 06:47:14: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia [Police] (d3s_QUA_Regalia_23_COP)
25.02.2020 06:47:15: 1h 1min | Nino Marino(76561198206026112) | spawning Quartz Regalia [EMS] (d3s_QUA_Regalia_23_EMS)
25.02.2020 06:48:49: 1h 3min | Nino Marino(76561198206026112) | Revive - civ_3(76561198206026112)
25.02.2020 06:49:40: 1h 4min | Nino Marino(76561198206026112) | God Mode - 1
25.02.2020 06:50:16: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_D_COP @035008..
25.02.2020 06:50:52: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_D_EX @035008..
25.02.2020 06:50:54: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_EX @035008..
25.02.2020 06:50:57: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_EMS @035009..
25.02.2020 06:50:58: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_D_UNM @035009..
25.02.2020 06:51:00: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_D_SE @035008..
25.02.2020 06:51:02: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_UNM @035008..
25.02.2020 06:51:03: 1h 5min | Nino Marino(76561198206026112) | Deleting d3s_QUA_Regalia_23_COP @035008..
25.02.2020 06:51:19: 1h 6min | Nino Marino(76561198206026112) | Deleting V12_SUPRAFNF_FAST @034008..
25.02.2020 23:41:06: 11h 39min | Donnie Turbo(76561198041233395) | Teleport to [3490.61,4237.64,0](GPS: 034011)
25.02.2020 23:56:58: 11h 55min | Donnie Turbo(76561198041233395) | Teleport to [3490.05,4237.62,0](GPS: 034011)
25.02.2020 23:57:06: 11h 55min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - AL "BIG AL" GAMBINO [CIV](76561198361509989)
