25.02.2020 04:26:41: 21h 55min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198180893505)
25.02.2020 04:31:33: 22h 0min | Donnie Turbo(76561198041233395) | DayTime
25.02.2020 04:32:19: 22h 1min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @036974..
25.02.2020 04:32:20: 22h 1min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @036974..
25.02.2020 04:32:21: 22h 1min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @036974..
25.02.2020 04:44:11: 22h 13min | Donnie Turbo(76561198041233395) | Teleport to [3509.52,3047.78,0](GPS: 035999)
25.02.2020 04:44:58: 22h 14min | Donnie Turbo(76561198041233395) | unlocked - [Jonzie_Ambulance]
25.02.2020 04:45:11: 22h 14min | Donnie Turbo(76561198041233395) | Deleting Jonzie_Ambulance @035999..
25.02.2020 04:45:25: 22h 14min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035000..
25.02.2020 05:51:08: 0h 5min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
25.02.2020 05:51:08: 0h 5min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
25.02.2020 05:51:08: 0h 5min | HoyoBani(76561198105940600) | noRecoil - 1
25.02.2020 05:53:22: 0h 8min | HoyoBani(76561198105940600) | HealRepairNear
25.02.2020 05:53:39: 0h 8min | HoyoBani(76561198105940600) | spawning F/A-181 Black Wasp II (B_Plane_Fighter_01_F)
25.02.2020 05:54:21: 0h 9min | HoyoBani(76561198105940600) | HealRepairNear
25.02.2020 05:54:28: 0h 9min | HoyoBani(76561198105940600) | HealRepairNear
25.02.2020 05:54:37: 0h 9min | HoyoBani(76561198105940600) | Vehicle God Mode - 1
25.02.2020 05:54:38: 0h 9min | HoyoBani(76561198105940600) | God Mode - 1
25.02.2020 05:57:49: 0h 12min | HoyoBani(76561198105940600) | Teleport to [5715.97,3728.95,0](GPS: 057006)
25.02.2020 05:57:57: 0h 12min | HoyoBani(76561198105940600) | Teleport to [3609.86,3433.46,0](GPS: 036003)
25.02.2020 05:58:14: 0h 12min | HoyoBani(76561198105940600) | spawning Caesar BTT (Racing) (C_Plane_Civil_01_racing_F)
25.02.2020 05:58:51: 0h 13min | HoyoBani(76561198105940600) | Teleport to [5036.29,2917.58,-0.000272751](GPS: 050998)
25.02.2020 06:01:52: 0h 16min | Sherman(76561198038112694) | Teleport to [2949.4,4014.51,0](GPS: 029009)
25.02.2020 06:01:57: 0h 16min | Sherman(76561198038112694) | Teleport - Target To Me - HoyoBani [CIV](76561198105940600)
25.02.2020 06:02:19: 0h 17min | HoyoBani(76561198105940600) | Teleport to [2925.34,4016.93,-0.000123024](GPS: 029009)
25.02.2020 06:02:45: 0h 17min | Sherman(76561198038112694) | God Mode - 1
25.02.2020 06:03:28: 0h 18min | Sherman(76561198038112694) | spawning Mk32 GMG 20 mm (Raised) (I_GMG_01_high_F)
25.02.2020 06:04:05: 0h 18min | Sherman(76561198038112694) | Deleting I_GMG_01_high_F @029009..
25.02.2020 06:06:04: 0h 20min | Sherman(76561198038112694) | spawning Mk30 HMG .50 (B_HMG_01_F)
25.02.2020 06:06:35: 0h 21min | Sherman(76561198038112694) | Deleting B_HMG_01_F @029009..
25.02.2020 06:06:46: 0h 21min | HoyoBani(76561198105940600) | Deleting C_Plane_Civil_01_racing_F @028011..
25.02.2020 06:06:52: 0h 21min | Sherman(76561198038112694) | spawning Kuwaiti Bahbahani | Blue (DC_GMC1979_blue)
25.02.2020 06:07:09: 0h 21min | HoyoBani(76561198105940600) | spawning IFV-6a Cheetah (B_T_APC_Tracked_01_AA_F)
25.02.2020 06:07:40: 0h 22min | Sherman(76561198038112694) | Parachute Target - HoyoBani [CIV](76561198105940600)
25.02.2020 06:07:51: 0h 22min | HoyoBani(76561198105940600) | Deleting DC_GMC1979_blue @028010..
25.02.2020 06:07:51: 0h 22min | Sherman(76561198038112694) | Zeus HoyoBani(76561198105940600) @028010
25.02.2020 06:07:51: 0h 22min | Sherman(76561198038112694) | Zeus - civ_1(76561198105940600)
25.02.2020 06:08:12: 0h 22min | Sherman(76561198038112694) | spawning F/A-181 Black Wasp II (Stealth) (B_Plane_Fighter_01_Stealth_F)
25.02.2020 06:08:16: 0h 23min | HoyoBani(76561198105940600) | Deleting B_Plane_Fighter_01_Stealth_F @028010..
25.02.2020 06:08:18: 0h 23min | Sherman(76561198038112694) | Teleport to [5640.4,3651.33,0](GPS: 056005)
25.02.2020 06:08:24: 0h 23min | HoyoBani(76561198105940600) | Teleport to [5656.28,3593.42,0](GPS: 056005)
25.02.2020 06:08:39: 0h 23min | HoyoBani(76561198105940600) | Teleport to [5995.36,3610.79,0](GPS: 059005)
25.02.2020 06:08:49: 0h 23min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F)
25.02.2020 06:08:53: 0h 23min | HoyoBani(76561198105940600) | Deleting B_Plane_CAS_01_F @056005..
25.02.2020 06:09:01: 0h 23min | HoyoBani(76561198105940600) | Teleport to [6015.68,3625.94,0](GPS: 060005)
25.02.2020 06:09:12: 0h 23min | HoyoBani(76561198105940600) | Teleport to [5594.1,3760.25,0](GPS: 055006)
25.02.2020 06:09:18: 0h 24min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F)
25.02.2020 06:09:21: 0h 24min | HoyoBani(76561198105940600) | Deleting B_Plane_CAS_01_F @055005..
25.02.2020 06:09:27: 0h 24min | HoyoBani(76561198105940600) | Teleport to [5635.06,3729.31,0](GPS: 056006)
25.02.2020 06:09:28: 0h 24min | Sherman(76561198038112694) | Teleport to [3959.57,2959.72,0](GPS: 039998)
25.02.2020 06:09:32: 0h 24min | HoyoBani(76561198105940600) | Teleport to [4004.5,2950.7,0](GPS: 040998)
25.02.2020 06:09:33: 0h 24min | Sherman(76561198038112694) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_dynamicLoadout_F)
25.02.2020 06:09:41: 0h 24min | HoyoBani(76561198105940600) | Deleting B_Plane_CAS_01_dynamicLoadout_F @039998..
25.02.2020 06:09:45: 0h 24min | HoyoBani(76561198105940600) | Teleport to [3892.3,2973.58,0](GPS: 038999)
