05.02.2020 01:45:48: 1h 60min | HoyoBani(76561198105940600) | Teleport to [3549.98,3132.76,0](GPS: 035000)
05.02.2020 01:46:05: 1h 60min | HoyoBani(76561198105940600) | 100K Cash
05.02.2020 01:49:12: 2h 3min | HoyoBani(76561198105940600) | HealSelf
05.02.2020 01:49:56: 2h 4min | HoyoBani(76561198105940600) | Teleport to [3615.58,3124.26,0](GPS: 036000)
05.02.2020 01:50:17: 2h 4min | HoyoBani(76561198105940600) | Teleport to [5033.88,4425.31,0](GPS: 050013)
05.02.2020 01:50:57: 2h 5min | HoyoBani(76561198105940600) | 500K Cash
05.02.2020 01:56:07: 2h 10min | HoyoBani(76561198105940600) | 5.000K Cash
05.02.2020 02:13:04: 2h 27min | Nino Marino(76561198206026112) | unlocked - [V12_KAWASAKIH2_2017_Rouge]
05.02.2020 02:13:20: 2h 27min | Nino Marino(76561198206026112) | locked - [V12_KAWASAKIH2_2017_Rouge]
05.02.2020 02:14:54: 2h 29min | HoyoBani(76561198105940600) | 10.000K Cash
05.02.2020 02:22:52: 2h 37min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 02:22:53: 2h 37min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 03:04:27: 3h 18min | HoyoBani(76561198105940600) | Teleport to [3745.36,3112.5,0](GPS: 037000)
05.02.2020 03:04:32: 3h 18min | HoyoBani(76561198105940600) | Teleport to [3728.83,3088.79,0](GPS: 037000)
05.02.2020 03:05:34: 3h 19min | HoyoBani(76561198105940600) | Teleport to [3648.7,3240.87,0](GPS: 036001)
05.02.2020 03:05:59: 3h 20min | HoyoBani(76561198105940600) | Teleport to [5028.46,4420.11,0](GPS: 050013)
05.02.2020 03:06:30: 3h 20min | HoyoBani(76561198105940600) | Teleport to [3920.44,2969.15,0](GPS: 039998)
05.02.2020 03:09:03: 3h 23min | HoyoBani(76561198105940600) | Teleport to [3540.79,3050.59,0](GPS: 035999)
05.02.2020 03:09:49: 3h 24min | HoyoBani(76561198105940600) | Teleport to [3745.91,3271.72,0](GPS: 037001)
05.02.2020 03:11:29: 3h 25min | Nino Marino(76561198206026112) | Revive - civ_1(76561198264871362)
05.02.2020 03:11:37: 3h 25min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
05.02.2020 03:12:17: 3h 26min | HoyoBani(76561198105940600) | 1.150K Cash
05.02.2020 03:12:18: 3h 26min | HoyoBani(76561198105940600) | 1.150K Cash
05.02.2020 03:12:21: 3h 26min | HoyoBani(76561198105940600) | 250K Cash
05.02.2020 03:14:00: 3h 28min | Nino Marino(76561198206026112) | Move In My Vehicle - luke [CIV](76561198264871362)
05.02.2020 03:14:03: 3h 28min | Nino Marino(76561198206026112) | Move In My Vehicle - luke [CIV](76561198264871362)
05.02.2020 03:14:09: 3h 28min | Nino Marino(76561198206026112) | Move In My Vehicle - luke [CIV](76561198264871362)
05.02.2020 03:24:22: 3h 38min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @033011..
05.02.2020 03:25:15: 3h 39min | Nino Marino(76561198206026112) | Heal - civ_1(76561198264871362)
05.02.2020 03:25:20: 3h 39min | Nino Marino(76561198206026112) | Heal - civ_7(76561198180893505)
05.02.2020 03:25:24: 3h 39min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Eddie Spaghetti(76561198046997779) - C_man_1
05.02.2020 03:28:22: 3h 42min | Nino Marino(76561198206026112) | Zeus luke(76561198264871362) @033011
05.02.2020 03:28:22: 3h 42min | Nino Marino(76561198206026112) | Zeus - civ_1(76561198264871362)
05.02.2020 03:28:46: 3h 43min | Nino Marino(76561198206026112) | Revive - civ_5(76561198206026112)
05.02.2020 03:28:50: 3h 43min | Nino Marino(76561198206026112) | Revive - civ_1(76561198264871362)
05.02.2020 03:28:54: 3h 43min | Nino Marino(76561198206026112) | Revive - civ_7(76561198180893505)
05.02.2020 03:58:29: 4h 12min | Nino Marino(76561198206026112) | Revive - civ_5(76561198206026112)
05.02.2020 03:59:17: 4h 13min | Nino Marino(76561198206026112) | Revive - civ_7(76561198180893505)
05.02.2020 04:00:30: 4h 14min | Nino Marino(76561198206026112) | God Mode - 1
05.02.2020 04:02:18: 4h 16min | Nino Marino(76561198206026112) | Revive - civ_1(76561198264871362)
05.02.2020 04:58:12: 5h 12min | Wyclef(76561198038112694) | Teleport to [3526.68,3180.55,0](GPS: 035001)
05.02.2020 05:14:19: 5h 28min | Wyclef(76561198038112694) | Teleport to [5546.7,3157.08,0](GPS: 055000)
05.02.2020 05:16:47: 5h 31min | Wyclef(76561198038112694) | Teleport to [4680.18,2611.94,0](GPS: 046995)
05.02.2020 05:18:03: 5h 32min | Wyclef(76561198038112694) | Teleport to [7481.7,860.702,0](GPS: 074977)
05.02.2020 05:18:18: 5h 32min | Wyclef(76561198038112694) | Teleport to [7527.74,542.965,0](GPS: 075974)
05.02.2020 05:21:35: 5h 35min | Wyclef(76561198038112694) | Teleport to [7830.48,925.678,0](GPS: 078978)
05.02.2020 05:21:47: 5h 36min | Wyclef(76561198038112694) | Teleport to [7715.52,991.733,0](GPS: 077979)
05.02.2020 05:22:05: 5h 36min | Wyclef(76561198038112694) | Teleport to [7781.58,1008.89,0](GPS: 077979)
05.02.2020 05:22:11: 5h 36min | Wyclef(76561198038112694) | Teleport to [7271.27,905.48,0](GPS: 072978)
05.02.2020 05:22:21: 5h 36min | Wyclef(76561198038112694) | Teleport to [7475.81,863.368,0](GPS: 074977)
05.02.2020 05:22:47: 5h 37min | Wyclef(76561198038112694) | Teleport to [7525.9,545.094,0](GPS: 075974)
05.02.2020 06:03:20: 6h 17min | Nino Marino(76561198206026112) | Teleport - Me To Target - AL "BIG AL" GAMBINO [CIV](76561198361509989)
05.02.2020 06:03:30: 6h 17min | Nino Marino(76561198206026112) | DayTime
05.02.2020 06:07:04: 6h 21min | Nino Marino(76561198206026112) | Revive - civ_4(76561198361509989)
05.02.2020 06:07:11: 6h 21min | Nino Marino(76561198206026112) | Heal - civ_1(76561198206026112)
05.02.2020 06:09:59: 6h 24min | Nino Marino(76561198206026112) | God Mode - 1
05.02.2020 06:10:01: 6h 24min | Nino Marino(76561198206026112) | Vehicle God Mode - 1
05.02.2020 06:10:09: 6h 24min | Nino Marino(76561198206026112) | HealRepairNear
05.02.2020 06:10:09: 6h 24min | Nino Marino(76561198206026112) | HealRepairNear
05.02.2020 06:10:14: 6h 24min | Nino Marino(76561198206026112) | Teleport to [4314.01,1932.12,0](GPS: 043988)
05.02.2020 06:10:22: 6h 24min | Nino Marino(76561198206026112) | HealRepairNear
05.02.2020 06:10:22: 6h 24min | Nino Marino(76561198206026112) | HealRepairNear
05.02.2020 06:11:03: 6h 25min | Nino Marino(76561198206026112) | Teleport to [3655.25,3241.88,0](GPS: 036001)
05.02.2020 06:11:36: 6h 25min | Nino Marino(76561198206026112) | Move In Target Vehicle - Joe Montana [CIV](76561198368248470)
05.02.2020 06:12:01: 6h 26min | Nino Marino(76561198206026112) | Teleport to [3648.64,3219.79,0](GPS: 036001)
05.02.2020 06:25:50: 6h 40min | Nino Marino(76561198206026112) | unlocked - [d3s_actros_14]
05.02.2020 06:26:20: 6h 40min | Nino Marino(76561198206026112) | locked - [d3s_actros_14]
05.02.2020 06:26:58: 6h 41min | Nino Marino(76561198206026112) | unlocked - [d3s_boss_15]
05.02.2020 06:27:22: 6h 41min | Nino Marino(76561198206026112) | locked - [d3s_boss_15]
05.02.2020 06:34:41: 6h 49min | Nino Marino(76561198206026112) | Exploding Joe Montana(76561198368248470) @034011
05.02.2020 06:34:41: 6h 49min | Nino Marino(76561198206026112) | Explode - civ_3(76561198368248470)
05.02.2020 06:35:02: 6h 49min | Nino Marino(76561198206026112) | Revive - civ_3(76561198368248470)
05.02.2020 06:35:08: 6h 49min | Nino Marino(76561198206026112) | Revive - civ_4(76561198361509989)
05.02.2020 06:35:13: 6h 49min | Nino Marino(76561198206026112) | Revive - civ_5(76561198206026112)
05.02.2020 06:36:50: 6h 51min | Nino Marino(76561198206026112) | Teleport - Target To Me - AL "BIG AL" GAMBINO [CIV](76561198361509989)
05.02.2020 06:41:37: 6h 55min | Nino Marino(76561198206026112) | unlocked - [d3s_actros_14]
05.02.2020 06:44:16: 6h 58min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on AL "BIG AL" GAMBINO(76561198361509989) - C_man_1
05.02.2020 07:07:20: 7h 21min | Nino Marino(76561198206026112) | locked - [d3s_actros_14]
05.02.2020 07:07:30: 7h 21min | Nino Marino(76561198206026112) | unlocked - [d3s_actros_14]
05.02.2020 07:46:26: 0h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_1(76561198089960350)
05.02.2020 07:47:06: 0h 6min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [4604.77,3358.08,0](GPS: 046002)
05.02.2020 07:54:45: 0h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
05.02.2020 07:54:46: 0h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
05.02.2020 08:02:19: 0h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [4809.38,3276.28,0](GPS: 048002)
05.02.2020 08:02:46: 0h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
05.02.2020 08:02:48: 0h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
05.02.2020 08:26:31: 0h 18min | Nino Marino(76561198206026112) | Teleport to [3811.37,3124.01,0](GPS: 038000)
05.02.2020 08:42:00: 0h 12min | Nino Marino(76561198206026112) | Teleport to [3522.51,3093.34,0](GPS: 035000)
05.02.2020 08:45:34: 0h 15min | Nino Marino(76561198206026112) | Teleport to [3449.77,4218.84,0](GPS: 034011)
05.02.2020 20:20:32: 11h 50min | Donnie Turbo(76561198041233395) | Teleport to [3526.31,3186.15,0](GPS: 035001)
05.02.2020 20:24:16: 11h 54min | Donnie Turbo(76561198041233395) | Teleport to [3143.26,5095.47,0](GPS: 031020)
05.02.2020 20:32:29: 12h 2min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
05.02.2020 21:04:38: 12h 34min | Donnie Turbo(76561198041233395) | spawning ACP-C2 .45 ACP (hgun_ACPC2_F)
05.02.2020 21:10:05: 12h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 21:10:05: 12h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 21:11:53: 12h 41min | Donnie Turbo(76561198041233395) | Revive - civ_4(76561198041233395)
05.02.2020 21:12:42: 12h 42min | Donnie Turbo(76561198041233395) | Revive - civ_4(76561198041233395)
05.02.2020 21:14:14: 12h 44min | Donnie Turbo(76561198041233395) | Heal - civ_5(76561198361509989)
05.02.2020 21:14:29: 12h 44min | Donnie Turbo(76561198041233395) | unlocked - [d3s_continentalGT_18]
05.02.2020 21:14:35: 12h 44min | Donnie Turbo(76561198041233395) | locked - [d3s_continentalGT_18]
05.02.2020 21:17:04: 12h 47min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 21:17:05: 12h 47min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 21:18:03: 12h 48min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 21:18:04: 12h 48min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 21:39:09: 13h 9min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
05.02.2020 21:39:09: 13h 9min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
05.02.2020 21:39:09: 13h 9min | HoyoBani(76561198105940600) | noRecoil - 1
05.02.2020 21:51:17: 13h 21min | Donnie Turbo(76561198041233395) | Revive - civ_7(76561198206026112)
05.02.2020 21:54:54: 13h 25min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @037999..
05.02.2020 22:08:46: 13h 38min | Donnie Turbo(76561198041233395) | noRecoil - 1
05.02.2020 22:19:13: 13h 49min | Donnie Turbo(76561198041233395) | spawning ACP-C2 .45 ACP (hgun_ACPC2_F)
05.02.2020 22:23:13: 13h 53min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
05.02.2020 22:23:13: 13h 53min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
05.02.2020 22:23:13: 13h 53min | HoyoBani(76561198105940600) | noRecoil - 1
05.02.2020 22:24:38: 13h 54min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 22:29:25: 13h 59min | HoyoBani(76561198105940600) | Teleport to [3515.72,3082.27,0](GPS: 035000)
05.02.2020 22:29:39: 13h 59min | HoyoBani(76561198105940600) | Teleport to [2152.56,3442.98,0](GPS: 021003)
05.02.2020 22:29:40: 13h 59min | HoyoBani(76561198105940600) | Teleport to [2243.11,3434.5,0](GPS: 022003)
05.02.2020 22:29:51: 13h 59min | HoyoBani(76561198105940600) | Teleport to [3514.09,3082.87,0](GPS: 035000)
05.02.2020 22:30:00: 13h 60min | HoyoBani(76561198105940600) | Teleport to [2158.53,3445.77,0](GPS: 021003)
05.02.2020 22:32:14: 14h 2min | HoyoBani(76561198105940600) | Teleport to [2153.79,3430.12,0](GPS: 021003)
05.02.2020 22:33:52: 14h 3min | HoyoBani(76561198105940600) | Teleport to [2832.75,4093.73,0](GPS: 028010)
05.02.2020 22:35:40: 14h 5min | Bob Lee Swagger(76561198318724805) | AdminConsole
05.02.2020 22:42:28: 14h 12min | HoyoBani(76561198105940600) | SPECTATE - switchedCamera on [1K-33] R. Tjay(76561198883479728) - d3s_FPIU_13
05.02.2020 22:44:42: 14h 14min | HoyoBani(76561198105940600) | HoyoBani added Ammo to d3s_FPIU_13
05.02.2020 23:01:30: 14h 31min | HoyoBani(76561198105940600) | HealRepairNear
05.02.2020 23:09:04: 14h 39min | HoyoBani(76561198105940600) | Teleport to [3654.16,3237.28,0](GPS: 036001)
05.02.2020 23:22:30: 14h 52min | Nino Marino(76561198206026112) | God Mode - 1
05.02.2020 23:28:11: 14h 58min | Wyclef(76561198038112694) | HealRepairNear
05.02.2020 23:44:51: 15h 14min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Bob Lee Swagger(76561198318724805) - C_man_1
05.02.2020 23:54:02: 15h 24min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 23:54:02: 15h 24min | Donnie Turbo(76561198041233395) | HealRepairNear
