22.02.2020 00:10:17: 41h 53min | Sherman(76561198038112694) | Teleport to [3646.15,3113.38,0](GPS: 036000)
22.02.2020 00:10:35: 41h 53min | Sherman(76561198038112694) | Give All Licenses
22.02.2020 00:10:36: 41h 53min | Sherman(76561198038112694) | Give All Licenses
22.02.2020 00:10:39: 41h 53min | Sherman(76561198038112694) | Give All Licenses
22.02.2020 00:11:34: 41h 54min | Sherman(76561198038112694) | Teleport to [3333.78,3249.57,0](GPS: 033001)
22.02.2020 00:18:32: 42h 1min | Sherman(76561198038112694) | Teleport to [3448.35,3089.89,0](GPS: 034000)
22.02.2020 00:34:22: 42h 17min | Sergei Kovacic(76561198043298972) | HealRepairNear
22.02.2020 00:46:43: 42h 30min | Nino Marino(76561198206026112) | Added 1 drPeppers to Nino Marino!
22.02.2020 00:46:54: 42h 30min | Nino Marino(76561198206026112) | Added 1 sprayBottles to Nino Marino!
22.02.2020 00:47:05: 42h 30min | Nino Marino(76561198206026112) | Added 1 glasss to Nino Marino!
22.02.2020 00:47:12: 42h 30min | Sherman(76561198038112694) | Teleport to [3643.35,3340.26,0](GPS: 036002)
22.02.2020 00:48:33: 42h 31min | Nino Marino(76561198206026112) | Teleport to [2092.46,6225.88,0](GPS: 020031)
22.02.2020 00:49:32: 42h 32min | Nino Marino(76561198206026112) | Teleport to [3373,4200.56,0](GPS: 033011)
22.02.2020 00:50:13: 42h 33min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @033011..
22.02.2020 01:04:32: 42h 47min | Sherman(76561198038112694) | Teleport to [3122.11,5069.74,0](GPS: 031019)
22.02.2020 01:04:38: 42h 47min | Sergei Kovacic(76561198043298972) | Teleport to [3158.15,5086.58,0](GPS: 031020)
22.02.2020 01:05:38: 42h 48min | Sherman(76561198038112694) | HealRepairNear
22.02.2020 01:07:26: 42h 50min | Sherman(76561198038112694) | HealRepairNear
22.02.2020 01:19:27: 43h 2min | Sherman(76561198038112694) | Deleting GroundWeaponHolder @038001..
22.02.2020 01:19:53: 43h 3min | Sergei Kovacic(76561198043298972) | Deleting GroundWeaponHolder @038001..
22.02.2020 01:20:09: 43h 3min | Sherman(76561198038112694) | Deleting GroundWeaponHolder @038001..
22.02.2020 01:21:57: 43h 5min | Sherman(76561198038112694) | Deleting GroundWeaponHolder @038001..
22.02.2020 01:24:18: 43h 7min | Sherman(76561198038112694) | HealRepairNear
22.02.2020 01:47:34: 43h 30min | Sherman(76561198038112694) | unlocked - [d3s_crown_98_PD]
22.02.2020 01:47:43: 43h 31min | Sherman(76561198038112694) | locked - [d3s_crown_98_PD]
22.02.2020 01:50:22: 43h 33min | Sherman(76561198038112694) | Teleport to [2772.51,6513.73,0](GPS: 027034)
22.02.2020 01:55:21: 43h 38min | Sherman(76561198038112694) | Teleport - Me To Target - Sergei Kovacic [WEST](76561198043298972)
22.02.2020 01:58:30: 43h 41min | Sherman(76561198038112694) | HealRepairNear
22.02.2020 02:25:04: 44h 8min | Sergei Kovacic(76561198043298972) | HealRepairNear
22.02.2020 02:30:12: 44h 13min | Sherman(76561198038112694) | HealRepairNear
22.02.2020 02:37:04: 44h 20min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Sherman(76561198038112694) - B_RangeMaster_F
22.02.2020 02:37:11: 44h 20min | Nino Marino(76561198206026112) | Teleport - Me To Target - Sherman [WEST](76561198038112694)
22.02.2020 02:37:27: 44h 20min | Nino Marino(76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
