20.02.2020 04:39:25: 3h 21min | Donnie Turbo(76561198041233395) | Teleport to [5548.16,4329.32,0](GPS: 055012)
20.02.2020 04:39:36: 3h 22min | Donnie Turbo(76561198041233395) | Teleport to [5555.53,4328.47,0](GPS: 055012)
20.02.2020 04:42:20: 3h 24min | Donnie Turbo(76561198041233395) | Teleport to [3549.67,3113.23,0](GPS: 035000)
20.02.2020 04:56:00: 3h 38min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 04:59:56: 3h 42min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
20.02.2020 05:01:02: 3h 43min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 05:01:26: 3h 43min | Donnie Turbo(76561198041233395) | Zeus John Anderson(76561198180893505) @034011
20.02.2020 05:01:27: 3h 43min | Donnie Turbo(76561198041233395) | Zeus - civ_3(76561198180893505)
20.02.2020 05:01:44: 3h 44min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 05:03:28: 3h 45min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
20.02.2020 05:04:05: 3h 46min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 05:05:59: 3h 48min | Donnie Turbo(76561198041233395) | spawning IR Grenade [NATO] (B_IR_Grenade)
20.02.2020 05:06:06: 3h 48min | Donnie Turbo(76561198041233395) | spawning IR Grenade [Spetsnaz] (O_R_IR_Grenade)
20.02.2020 05:07:02: 3h 49min | Donnie Turbo(76561198041233395) | spawning RGO Grenade (HandGrenade)
20.02.2020 05:07:03: 3h 49min | Donnie Turbo(76561198041233395) | spawning RGO Grenade (HandGrenade)
20.02.2020 05:07:03: 3h 49min | Donnie Turbo(76561198041233395) | spawning RGO Grenade (HandGrenade)
20.02.2020 05:08:08: 3h 50min | Donnie Turbo(76561198041233395) | Revive - civ_4(76561198361509989)
20.02.2020 05:08:14: 3h 50min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
