14.02.2020 00:28:37: 6h 42min | Donnie Turbo(76561198041233395) | Teleport to [3622.73,3998.94,0](GPS: 036009)
14.02.2020 00:28:59: 6h 42min | Donnie Turbo(76561198041233395) | unlocked - [d3s_cherokee_18_JPPV]
14.02.2020 00:29:20: 6h 42min | Donnie Turbo(76561198041233395) | Teleport to [3710,3089.73,0](GPS: 037000)
14.02.2020 00:31:12: 6h 44min | Donnie Turbo(76561198041233395) | Teleport to [4404.77,3648.24,0](GPS: 044005)
14.02.2020 00:42:08: 6h 55min | Donnie Turbo(76561198041233395) | Teleport to [3749.33,3307.1,0](GPS: 037002)
14.02.2020 00:43:10: 6h 56min | Donnie Turbo(76561198041233395) | locked - [d3s_cherokee_18_JPPV]
14.02.2020 00:46:58: 6h 60min | Donnie Turbo(76561198041233395) | Added 2 lockpicks to Donnie Turbo!
14.02.2020 01:38:19: 7h 51min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on AL "BIG AL" GAMBINO(76561198361509989) - d3s_actros_14
14.02.2020 01:51:38: 8h 5min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_svr_17_007]
14.02.2020 01:52:20: 8h 5min | [1k-40] Jose Santana(76561198206026112) | locked - [d3s_svr_17_007]
14.02.2020 03:26:16: 0h 2min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
14.02.2020 03:26:16: 0h 2min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
14.02.2020 03:26:16: 0h 2min | HoyoBani(76561198105940600) | noRecoil - 1
14.02.2020 03:26:16: 0h 2min | HoyoBani(76561198105940600) | AdminConsole
14.02.2020 03:27:48: 0h 3min | HoyoBani(76561198105940600) | Teleport to [3513.87,3083.36,0](GPS: 035000)
14.02.2020 03:28:38: 0h 4min | HoyoBani(76561198105940600) | AdminConsole
14.02.2020 03:31:25: 0h 7min | HoyoBani(76561198105940600) | AdminConsole
14.02.2020 03:31:30: 0h 7min | HoyoBani(76561198105940600) | AdminConsole
14.02.2020 03:37:56: 0h 3min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
14.02.2020 03:37:56: 0h 3min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
14.02.2020 03:37:56: 0h 3min | HoyoBani(76561198105940600) | noRecoil - 1
14.02.2020 03:44:37: 0h 4min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
14.02.2020 03:44:37: 0h 4min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
14.02.2020 03:44:37: 0h 4min | HoyoBani(76561198105940600) | noRecoil - 1
14.02.2020 03:46:33: 0h 6min | HoyoBani(76561198105940600) | Teleport to [3417.34,4170.7,0](GPS: 034010)
14.02.2020 03:47:49: 0h 7min | HoyoBani(76561198105940600) | Teleport to [3525.35,3124.3,0](GPS: 035000)
14.02.2020 03:48:30: 0h 8min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
