29.02.2020 00:39:00: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:00: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:00: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:00: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:01: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:01: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:01: 0h 38min | Donnie Turbo(76561198041233395) | God Mode - 1
29.02.2020 00:39:01: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:01: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:01: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:01: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:02: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:02: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:02: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:02: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:02: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:02: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:03: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:03: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:03: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding [1k-40] Jose Santana(76561198206026112) @035000
29.02.2020 00:39:03: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - cop_1(76561198206026112)
29.02.2020 00:39:07: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:07: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:07: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:07: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:08: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:08: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:08: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:08: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:09: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:09: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:09: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:09: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:09: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Exploding Rogue Tjay(76561198883479728) @035999
29.02.2020 00:39:09: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Explode - medic_6(76561198883479728)
29.02.2020 00:39:11: 0h 38min | Donnie Turbo(76561198041233395) | Heal - cop_2(76561198041233395)
29.02.2020 00:39:15: 0h 38min | [1k-40] Jose Santana(76561198206026112) | Revive - medic_6()
29.02.2020 00:39:26: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding luke(76561198264871362) @035999
29.02.2020 00:39:26: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Explode - civ_1(76561198264871362)
29.02.2020 00:39:34: 0h 39min | [1k-40] Jose Santana(76561198206026112) | Exploding John Anderson(76561198180893505) @000050
