23.01.2020 00:06:29: 2h 27min | Donnie Turbo(76561198041233395) | Teleport to [2089.38,3659.59,0](GPS: 020005)
23.01.2020 00:18:44: 2h 39min | Donnie Turbo(76561198041233395) | Teleport to [3539.76,2950.79,0](GPS: 035998)
23.01.2020 01:48:28: 4h 9min | Nino Marino(76561198206026112) | Teleport to [2857.08,4590.57,0](GPS: 028015)
23.01.2020 01:48:42: 4h 9min | Nino Marino(76561198206026112) | God Mode - 1
23.01.2020 01:48:43: 4h 9min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
23.01.2020 01:50:19: 4h 10min | Nino Marino(76561198206026112) | Heal - civ_3(76561198264871362)
23.01.2020 01:52:25: 4h 13min | Donnie Turbo(76561198041233395) | HealRepairNear
23.01.2020 01:52:26: 4h 13min | Donnie Turbo(76561198041233395) | HealRepairNear
23.01.2020 01:52:32: 4h 13min | Donnie Turbo(76561198041233395) | HealSelf
23.01.2020 01:54:02: 4h 14min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @028015..
23.01.2020 01:54:30: 4h 15min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
23.01.2020 01:54:31: 4h 15min | Nino Marino(76561198206026112) | God Mode - 0
23.01.2020 01:54:35: 4h 15min | Donnie Turbo(76561198041233395) | Teleport to [2850.32,4576.26,0](GPS: 028015)
23.01.2020 01:55:12: 4h 15min | Donnie Turbo(76561198041233395) | Teleport to [2850.94,4611.1,0](GPS: 028015)
23.01.2020 01:55:14: 4h 15min | Nino Marino(76561198206026112) | God Mode - 1
23.01.2020 01:55:15: 4h 15min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
23.01.2020 01:55:21: 4h 15min | Donnie Turbo(76561198041233395) | Teleport to [2862.34,4613.57,0](GPS: 028015)
23.01.2020 01:56:04: 4h 16min | Nino Marino(76561198206026112) | Revive - civ_2(76561198041233395)
23.01.2020 01:56:19: 4h 16min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
23.01.2020 01:56:28: 4h 17min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
23.01.2020 01:56:39: 4h 17min | Nino Marino(76561198206026112) | Teleport - Target To Me - Stanley Thompson [1K-75] [GUER](76561198180893505)
23.01.2020 01:57:18: 4h 17min | Nino Marino(76561198206026112) | Revive - medic_1(76561198180893505)
23.01.2020 01:57:48: 4h 18min | Nino Marino(76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
23.01.2020 01:57:50: 4h 18min | Nino Marino(76561198206026112) | Teleport - Target To Me - luke [CIV](76561198264871362)
23.01.2020 01:57:53: 4h 18min | Nino Marino(76561198206026112) | Teleport - Target To Me - Stanley Thompson [1K-75] [GUER](76561198180893505)
23.01.2020 01:58:05: 4h 18min | Nino Marino(76561198206026112) | Revive - civ_2(76561198041233395)
23.01.2020 01:58:17: 4h 18min | Nino Marino(76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
23.01.2020 01:59:01: 4h 19min | Nino Marino(76561198206026112) | Revive - civ_3(76561198264871362)
23.01.2020 01:59:40: 4h 20min | Nino Marino(76561198206026112) | Teleport to [3514.92,3036.67,0](GPS: 035999)
23.01.2020 01:59:46: 4h 20min | Nino Marino(76561198206026112) | Teleport - Target To Me - Stanley Thompson [1K-75] [GUER](76561198180893505)
23.01.2020 02:04:31: 4h 25min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - Stanley Thompson [1K-75] [GUER](76561198180893505)
23.01.2020 02:04:38: 4h 25min | Donnie Turbo(76561198041233395) | Move In Target Vehicle - luke [CIV](76561198264871362)
23.01.2020 02:04:43: 4h 25min | Donnie Turbo(76561198041233395) | Move In My Vehicle - luke [CIV](76561198264871362)
23.01.2020 02:07:11: 4h 27min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - luke [CIV](76561198264871362)
23.01.2020 02:27:39: 4h 48min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
23.01.2020 02:27:40: 4h 48min | Nino Marino(76561198206026112) | God Mode - 0
23.01.2020 02:30:27: 4h 51min | Nino Marino(76561198206026112) | Teleport to [3582.46,3193.78,0](GPS: 035001)
23.01.2020 02:31:12: 4h 51min | Nino Marino(76561198206026112) | Teleport to [3784.08,3245.09,0](GPS: 037001)
23.01.2020 02:47:09: 5h 7min | Nino Marino(76561198206026112) | Added 5 cocaine_processeds to Donnie Turbo!
23.01.2020 02:47:14: 5h 7min | Nino Marino(76561198206026112) | Added 5 cocaine_processeds to Stanley Thompson [1K-75]!
23.01.2020 02:47:19: 5h 7min | Nino Marino(76561198206026112) | Added 5 cocaine_processeds to Nino Marino!
23.01.2020 02:47:29: 5h 8min | Nino Marino(76561198206026112) | Added 5 heroin_processeds to Nino Marino!
23.01.2020 02:47:35: 5h 8min | Nino Marino(76561198206026112) | Added 5 coffees to Nino Marino!
23.01.2020 02:47:38: 5h 8min | Nino Marino(76561198206026112) | Added 5 tbacons to Nino Marino!
23.01.2020 02:48:53: 5h 9min | Donnie Turbo(76561198041233395) | spawning SigSauer Mk25-D (hlc_pistol_Mk25D)
23.01.2020 02:51:29: 5h 12min | Nino Marino(76561198206026112) | spawning Tactical Bacon (Max_TacticalBacon)
23.01.2020 02:51:57: 5h 12min | Nino Marino(76561198206026112) | spawning Tarjeta visa oro (pop_creditcard)
23.01.2020 02:52:29: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:30: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:30: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:31: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:32: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:32: 5h 13min | Donnie Turbo(76561198041233395) | Added 15 waterBottles to Donnie Turbo!
23.01.2020 02:52:32: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:33: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:33: 5h 13min | Nino Marino(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
23.01.2020 02:52:35: 5h 13min | Nino Marino(76561198206026112) | spawning coca (200g) (pop_coca_b)
23.01.2020 02:52:36: 5h 13min | Nino Marino(76561198206026112) | spawning coca (200g) (pop_coca_b)
23.01.2020 02:52:36: 5h 13min | Nino Marino(76561198206026112) | spawning coca (200g) (pop_coca_b)
23.01.2020 02:52:36: 5h 13min | Nino Marino(76561198206026112) | spawning coca (200g) (pop_coca_b)
23.01.2020 02:52:37: 5h 13min | Nino Marino(76561198206026112) | spawning coca (200g) (pop_coca_b)
23.01.2020 02:52:37: 5h 13min | Nino Marino(76561198206026112) | spawning coca (200g) (pop_coca_b)
23.01.2020 02:52:42: 5h 13min | Donnie Turbo(76561198041233395) | Added 15 tbacons to Donnie Turbo!
23.01.2020 02:52:58: 5h 13min | Nino Marino(76561198206026112) | spawning taladro (pop_taladro)
23.01.2020 02:54:08: 5h 14min | Nino Marino(76561198206026112) | Deleting WeaponHolderSimulated @036999..
23.01.2020 02:54:45: 5h 15min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Orange) (SmokeShellOrange)
23.01.2020 02:54:46: 5h 15min | Donnie Turbo(76561198041233395) | spawning RGN Grenade (MiniGrenade)
23.01.2020 02:56:32: 5h 17min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198180893505)
23.01.2020 03:16:36: 5h 37min | Donnie Turbo(76561198041233395) | Heal - civ_1(76561198206026112)
23.01.2020 03:17:27: 5h 38min | Donnie Turbo(76561198041233395) | Revive - cop_1(76561198180893505)
23.01.2020 03:19:31: 5h 40min | Donnie Turbo(76561198041233395) | Heal - civ_1(76561198206026112)
23.01.2020 03:20:26: 5h 41min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198041233395)
23.01.2020 03:21:54: 5h 42min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198041233395)
23.01.2020 03:25:50: 5h 46min | Nino Marino(76561198206026112) | Heal - civ_1(76561198206026112)
23.01.2020 03:29:19: 5h 49min | Nino Marino(76561198206026112) | unlocked - [d3s_g500_18_EMS]
23.01.2020 03:34:36: 5h 55min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
23.01.2020 03:34:45: 5h 55min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
23.01.2020 03:34:46: 5h 55min | Nino Marino(76561198206026112) | God Mode - 1
23.01.2020 03:35:08: 5h 55min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
23.01.2020 03:35:09: 5h 55min | Nino Marino(76561198206026112) | God Mode - 0
23.01.2020 03:35:13: 5h 55min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
23.01.2020 03:35:19: 5h 55min | Nino Marino(76561198206026112) | Revive - civ_2(76561198041233395)
23.01.2020 03:35:36: 5h 56min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
23.01.2020 03:38:14: 5h 58min | Nino Marino(76561198206026112) | Heal - civ_1(76561198206026112)
23.01.2020 03:38:16: 5h 58min | Nino Marino(76561198206026112) | Revive - cop_1(76561198180893505)
