05.03.2020 14:04:53: 2h 4min | Wyclef(76561198038112694) | Teleport to [3663.51,3241.66,0](GPS: 036001)
05.03.2020 14:05:10: 2h 4min | Wyclef(76561198038112694) | Teleport to [3748.87,3269.63,0](GPS: 037001)
05.03.2020 14:05:54: 2h 5min | Wyclef(76561198038112694) | Teleport to [3676.15,3251.46,0](GPS: 036001)
05.03.2020 14:07:22: 2h 7min | Wyclef(76561198038112694) | Teleport to [36.0084,8148.12,0](GPS: 000050)
05.03.2020 14:07:32: 2h 7min | Wyclef(76561198038112694) | God Mode - 1
05.03.2020 14:32:50: 2h 32min | Wyclef(76561198038112694) | Teleport to [3771.48,3288.12,0](GPS: 037002)
05.03.2020 14:45:26: 2h 45min | Wyclef(76561198038112694) | God Mode - 0
05.03.2020 14:46:09: 2h 45min | Wyclef(76561198038112694) | Teleport to [7520.19,549.547,0](GPS: 075974)
05.03.2020 14:46:14: 2h 45min | Wyclef(76561198038112694) | Teleport - Target To Me - S.Kingston [WEST](76561198046640450)
05.03.2020 14:46:16: 2h 45min | Wyclef(76561198038112694) | Teleport - Target To Me - William [WEST](76561198213286991)
05.03.2020 14:51:05: 2h 50min | Wyclef(76561198038112694) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
05.03.2020 15:44:55: 3h 44min | Wyclef(76561198038112694) | Revive - civ_3(76561198038112694)
05.03.2020 15:45:44: 3h 45min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
05.03.2020 15:47:28: 3h 47min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @075974..
05.03.2020 15:47:57: 3h 47min | Donnie Turbo(76561198041233395) | DayTime
05.03.2020 15:49:43: 3h 49min | Donnie Turbo(76561198041233395) | Heal - cop_2(76561198213286991)
05.03.2020 16:00:35: 3h 60min | Donnie Turbo(76561198041233395) | Teleport to [3775.14,3763.44,0](GPS: 037006)
05.03.2020 16:00:47: 3h 60min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - S.Kingston [WEST](76561198046640450)
05.03.2020 16:00:49: 4h 0min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - William [WEST](76561198213286991)
05.03.2020 16:18:50: 4h 18min | Donnie Turbo(76561198041233395) | Teleport to [5548.43,4329.4,0](GPS: 055012)
05.03.2020 16:21:50: 4h 21min | Donnie Turbo(76561198041233395) | Teleport to [3945.19,3636.23,0](GPS: 039005)
05.03.2020 16:22:41: 4h 22min | Donnie Turbo(76561198041233395) | Heal - cop_1(76561198046640450)
05.03.2020 16:24:39: 4h 24min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
05.03.2020 16:24:40: 4h 24min | Donnie Turbo(76561198041233395) | noRecoil - 1
