01.03.2020 00:12:19: 0h 11min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035999..
01.03.2020 00:13:58: 0h 13min | Betty Boop White(76561198206026112) | Revive - cop_2(76561198180893505)
01.03.2020 00:19:57: 0h 19min | Donnie Turbo(76561198041233395) | Teleport to [3792.92,4141.79,0](GPS: 037010)
01.03.2020 01:13:07: 1h 12min | Donnie Turbo(76561198041233395) | Teleport to [3526.58,3045.31,0](GPS: 035999)
01.03.2020 01:13:19: 1h 12min | Betty Boop White(76561198206026112) | unlocked - [d3s_charger_15_CPP]
01.03.2020 01:13:27: 1h 13min | Betty Boop White(76561198206026112) | locked - [d3s_charger_15_CPP]
01.03.2020 01:23:15: 1h 22min | Betty Boop White(76561198206026112) | unlocked - [d3s_charger_15_CPP]
01.03.2020 01:23:33: 1h 23min | Betty Boop White(76561198206026112) | locked - [d3s_charger_15_CPP]
01.03.2020 01:35:52: 1h 35min | Betty Boop White(76561198206026112) | Deleting GroundWeaponHolder @038001..
01.03.2020 01:44:19: 1h 43min | Donnie Turbo(76561198041233395) | Deleting C_IDAP_Van_02_medevac_F @035999..
01.03.2020 01:44:56: 1h 44min | Betty Boop White(76561198206026112) | Revive - cop_1(76561198206026112)
01.03.2020 01:45:07: 1h 44min | Betty Boop White(76561198206026112) | Exploding luke(76561198264871362) @034000
01.03.2020 01:45:07: 1h 44min | Betty Boop White(76561198206026112) | Explode - civ_2(76561198264871362)
01.03.2020 01:47:01: 1h 46min | Betty Boop White(76561198206026112) | Exploding luke(76561198264871362) @034000
01.03.2020 01:47:01: 1h 46min | Betty Boop White(76561198206026112) | Explode - civ_2(76561198264871362)
01.03.2020 01:55:28: 1h 55min | Betty Boop White(76561198206026112) | Revive - cop_1(76561198206026112)
01.03.2020 01:56:17: 1h 55min | Betty Boop White(76561198206026112) | Teleport to [3626.17,4009.99,0](GPS: 036009)
01.03.2020 01:56:34: 1h 56min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198264871362)
01.03.2020 02:35:29: 2h 35min | Betty Boop White(76561198206026112) | Teleport to [3847.6,3263.03,0](GPS: 038001)
01.03.2020 03:15:09: 3h 14min | Betty Boop White(76561198206026112) | Teleport to [3610.67,3012.06,0](GPS: 036999)
01.03.2020 03:24:54: 3h 24min | Betty Boop White(76561198206026112) | Teleport to [3654.39,3242.08,0](GPS: 036001)
01.03.2020 03:36:52: 3h 36min | Betty Boop White(76561198206026112) | SPECTATE - switchedCamera on S.Kingston(76561198046640450) - B_RangeMaster_F
01.03.2020 03:36:57: 3h 36min | Betty Boop White(76561198206026112) | SPECTATE - switchedCamera on Sternn(76561198087299936) - B_RangeMaster_F
01.03.2020 04:04:50: 4h 4min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
01.03.2020 04:06:18: 4h 5min | Donnie Turbo(76561198041233395) | Teleport to [3560.5,3083.44,0](GPS: 035000)
01.03.2020 04:13:10: 4h 12min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198264871362)
01.03.2020 04:35:11: 4h 34min | Betty Boop White(76561198206026112) | unlocked - [d3s_senna_18]
01.03.2020 04:37:12: 4h 36min | Donnie Turbo(76561198041233395) | unlocked - [d3s_g500_18_EMS]
01.03.2020 04:37:18: 4h 36min | Donnie Turbo(76561198041233395) | locked - [d3s_g500_18_EMS]
01.03.2020 04:38:19: 4h 37min | Donnie Turbo(76561198041233395) | unlocked - [d3s_g500_18_EMS]
01.03.2020 04:38:22: 4h 37min | Donnie Turbo(76561198041233395) | locked - [d3s_g500_18_EMS]
01.03.2020 04:40:32: 4h 40min | Betty Boop White(76561198206026112) | Teleport to [2385.65,4524.24,0](GPS: 023014)
01.03.2020 04:43:45: 4h 43min | Donnie Turbo(76561198041233395) | spawning SigSauer P226R (.40) (hlc_pistol_P226R_40)
01.03.2020 04:51:26: 4h 51min | Betty Boop White(76561198206026112) | Teleport to [3709.95,3248,0](GPS: 037001)
01.03.2020 04:52:00: 4h 51min | Betty Boop White(76561198206026112) | HealRepairNear
01.03.2020 04:52:00: 4h 51min | Betty Boop White(76561198206026112) | HealRepairNear
01.03.2020 04:56:52: 4h 56min | Betty Boop White(76561198206026112) | God Mode - 1
01.03.2020 05:09:03: 5h 8min | Betty Boop White(76561198206026112) | God Mode - 0
01.03.2020 05:47:52: 5h 47min | Donnie Turbo(76561198041233395) | Teleport to [3553.85,3025.68,0](GPS: 035999)
01.03.2020 05:50:40: 5h 50min | Betty Boop White(76561198206026112) | Deleting GroundWeaponHolder @037001..
01.03.2020 05:51:11: 5h 50min | Betty Boop White(76561198206026112) | Teleport to [2912.36,3809.46,0](GPS: 029007)
01.03.2020 05:51:54: 5h 51min | Betty Boop White(76561198206026112) | Teleport to [3708.33,3235.18,0](GPS: 037001)
01.03.2020 05:57:15: 5h 56min | Donnie Turbo(76561198041233395) | Teleport to [3422.12,4162.61,0](GPS: 034010)
01.03.2020 06:11:27: 6h 11min | Betty Boop White(76561198206026112) | Unrestrain - medic_6(76561198180893505)
01.03.2020 06:11:29: 6h 11min | Betty Boop White(76561198206026112) | UnFreeze Target - medic_6(76561198180893505)
