15.02.2020 02:26:44: 20h 0min | Sherman(76561198038112694) | spawning Bottle of Bitters (plp_bo_inv_BottleTequila)
15.02.2020 02:26:44: 20h 0min | Sherman(76561198038112694) | spawning Bottle of Bitters (plp_bo_inv_BottleTequila)
15.02.2020 02:27:02: 20h 1min | Sherman(76561198038112694) | spawning Alcohol (pop_alcohol)
15.02.2020 02:27:03: 20h 1min | Sherman(76561198038112694) | spawning Alcohol (pop_alcohol)
15.02.2020 02:39:22: 20h 13min | Donnie Turbo(76561198041233395) | Teleport to [3443.75,3352.04,0](GPS: 034002)
15.02.2020 02:56:12: 20h 30min | K-12 J Shepard(76561198043298972) | spawning Dodge Durango Police Unmarked'18 (d3s_durango_18_UNM)
15.02.2020 02:56:22: 20h 30min | K-12 J Shepard(76561198043298972) | locked - [d3s_durango_18_UNM]
15.02.2020 02:58:47: 20h 32min | K-12 J Shepard(76561198043298972) | spawning Lamborghini LM002'92 MAW Camo (d3s_lm002_MAW)
15.02.2020 02:58:50: 20h 32min | K-12 J Shepard(76561198043298972) | Deleting d3s_lm002_MAW @036002..
15.02.2020 02:59:33: 20h 33min | K-12 J Shepard(76561198043298972) | spawning BMW M5 Unmarked(F10)'14 GOV 2 (d3s_amazing_f10_12_UNM_GOV2)
15.02.2020 02:59:49: 20h 33min | K-12 J Shepard(76561198043298972) | Deleting Sherman(76561198038112694) vehicle: d3s_amazing_f10_12_UNM_GOV2 @036002..
15.02.2020 03:00:16: 20h 34min | K-12 J Shepard(76561198043298972) | spawning BMW M5 Unmarked(F10)'14 GOV (d3s_amazing_f10_12_UNM_GOV1)
15.02.2020 03:00:26: 20h 34min | K-12 J Shepard(76561198043298972) | Deleting d3s_amazing_f10_12_UNM_GOV1 @036002..
15.02.2020 03:00:35: 20h 34min | K-12 J Shepard(76561198043298972) | spawning BMW M5 Unmarked(F10)'14 (d3s_amazing_f10_12_UNM)
15.02.2020 03:00:43: 20h 34min | K-12 J Shepard(76561198043298972) | Deleting d3s_amazing_f10_12_UNM @036002..
15.02.2020 03:00:55: 20h 34min | K-12 J Shepard(76561198043298972) | spawning Chrysler 300 Police Unmarked'15 (d3s_300_12_UNM)
15.02.2020 03:02:49: 20h 36min | K-12 J Shepard(76561198043298972) | locked - [d3s_300_12_UNM]
