27.02.2020 00:19:22: 0h 18min | Donnie Turbo(76561198041233395) | Teleport to [3148.49,5081.13,0](GPS: 031020)
27.02.2020 00:21:01: 0h 20min | Donnie Turbo(76561198041233395) | Teleport to [3490.33,4234.81,0](GPS: 034011)
27.02.2020 00:21:55: 0h 21min | Donnie Turbo(76561198041233395) | spawning Ford Raptor BIG (RAPTOR_BIG)
27.02.2020 00:32:30: 0h 32min | Donnie Turbo(76561198041233395) | Deleting RAPTOR_BIG @035001..
27.02.2020 00:34:42: 0h 34min | Donnie Turbo(76561198041233395) | spawning Glock 19 Tan (RH_g19t)
27.02.2020 00:36:07: 0h 35min | Donnie Turbo(76561198041233395) | spawning Colt Python (RH_python)
27.02.2020 00:36:26: 0h 36min | Donnie Turbo(76561198041233395) | spawning Micro Uzi 9mm Suppressor (RH_muzisd)
27.02.2020 00:36:28: 0h 36min | Donnie Turbo(76561198041233395) | spawning Micro Uzi (RH_muzi)
27.02.2020 00:36:37: 0h 36min | Donnie Turbo(76561198041233395) | Heal - civ_1(76561198180893505)
27.02.2020 00:37:39: 0h 37min | Donnie Turbo(76561198041233395) | spawning FN30-11"Lynx" (hlc_rifle_FN3011Lynx_50rnd)
27.02.2020 00:39:07: 0h 38min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035001..
27.02.2020 00:40:14: 0h 39min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198041233395)
27.02.2020 00:41:43: 0h 41min | Donnie Turbo(76561198041233395) | spawning SAW Pistol Grip (hlc_grip_SAW_Grip1)
27.02.2020 00:43:08: 0h 42min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198354844800)
27.02.2020 00:43:19: 0h 42min | Donnie Turbo(76561198041233395) | Deleting Amado Carrillo fuentes(76561198354844800) vehicle: C_man_1 @035001..
27.02.2020 00:43:20: 0h 42min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035001..
27.02.2020 00:45:06: 0h 44min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035001..
27.02.2020 00:48:06: 0h 47min | Donnie Turbo(76561198041233395) | spawning MAR-10 .338 (Black) (srifle_DMR_02_F)
27.02.2020 00:48:59: 0h 48min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
27.02.2020 00:53:31: 0h 53min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198354844800)
