07.02.2020 02:15:46: 0h 7min | Donnie Turbo(76561198041233395) | Teleport to [3520.5,2990.24,0](GPS: 035999)
07.02.2020 02:15:56: 0h 7min | Donnie Turbo(76561198041233395) | Teleport to [3825.35,3131.74,0](GPS: 038000)
07.02.2020 02:17:31: 0h 9min | Donnie Turbo(76561198041233395) | spawning Jeep Cactus Concept (Cactus_Jeep)
07.02.2020 02:18:29: 0h 10min | Donnie Turbo(76561198041233395) | Deleting Cactus_Jeep @037999..
07.02.2020 02:18:55: 0h 10min | Donnie Turbo(76561198041233395) | spawning MadMax Ford Mainline 1954 (Ford_Mainline_1954)
07.02.2020 02:24:15: 0h 15min | Donnie Turbo(76561198041233395) | Deleting Ford_Mainline_1954 @035000..
07.02.2020 02:24:33: 0h 16min | Donnie Turbo(76561198041233395) | Deleting Land_HeliPad @035999..
07.02.2020 02:32:03: 0h 23min | Donnie Turbo(76561198041233395) | spawning UGV (C_IDAP_UGV_01_F)
07.02.2020 02:32:25: 0h 23min | Donnie Turbo(76561198041233395) | Deleting C_IDAP_UGV_01_F @035000..
07.02.2020 02:33:15: 0h 24min | Donnie Turbo(76561198041233395) | spawning MIM-145 Defender (B_SAM_System_03_F)
07.02.2020 02:33:40: 0h 25min | Donnie Turbo(76561198041233395) | Deleting B_SAM_System_03_F @035000..
07.02.2020 02:42:19: 0h 33min | Donnie Turbo(76561198041233395) | spawning ED-1D Pelter (I_E_UGV_02_Demining_F)
07.02.2020 02:42:52: 0h 34min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035999..
07.02.2020 02:43:21: 0h 34min | Donnie Turbo(76561198041233395) | spawning ED-1D Pelter (I_UGV_02_Demining_F)
07.02.2020 02:43:43: 0h 35min | Donnie Turbo(76561198041233395) | Deleting I_UGV_02_Demining_F @035999..
07.02.2020 02:43:59: 0h 35min | Donnie Turbo(76561198041233395) | spawning HD Nightster Scrambler (M1030)
07.02.2020 02:44:23: 0h 35min | Donnie Turbo(76561198041233395) | spawning Yamaha TT650 (TT650_Civ)
07.02.2020 02:44:25: 0h 35min | Donnie Turbo(76561198041233395) | spawning Yamaha TT650 (TT650_Ins)
07.02.2020 02:44:28: 0h 36min | Donnie Turbo(76561198041233395) | spawning Yamaha TT650 (TT650_Gue)
07.02.2020 02:44:31: 0h 36min | Donnie Turbo(76561198041233395) | spawning HD Nightster Scrambler (M1030)
07.02.2020 02:45:25: 0h 36min | Donnie Turbo(76561198041233395) | Deleting TT650_Gue @035998..
07.02.2020 02:45:28: 0h 37min | Donnie Turbo(76561198041233395) | Deleting TT650_Civ @035999..
07.02.2020 02:45:30: 0h 37min | Donnie Turbo(76561198041233395) | Deleting TT650_Ins @035999..
07.02.2020 02:46:34: 0h 38min | Donnie Turbo(76561198041233395) | spawning Ð£Ñ€Ð°Ð»-NEXT ÐšÑƒÐ½Ð³ (d3s_next_kung)
