23.02.2020 00:32:41: 2h 12min | Sherman(76561198038112694) | HealRepairNear
23.02.2020 00:41:56: 2h 21min | Sherman(76561198038112694) | Teleport to [3320.04,3256.44,0](GPS: 033001)
23.02.2020 01:26:04: 3h 5min | Sherman(76561198038112694) | Teleport to [3288.37,5588.32,0](GPS: 032025)
23.02.2020 01:27:26: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Peppe Valachi(76561198272370927) - C_man_1
23.02.2020 01:27:29: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Peppe Valachi(76561198272370927) - C_man_1
23.02.2020 01:27:30: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Amado Carrillo fuentes(76561198354844800) - C_man_1
23.02.2020 01:27:31: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - B_RangeMaster_F
23.02.2020 01:27:32: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - B_RangeMaster_F
23.02.2020 01:27:33: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on [1k-40] Jose Santana(76561198206026112) - B_RangeMaster_F
23.02.2020 01:27:35: 3h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Rogue Tjay(76561198883479728) - I_soldier_UAV_06_medical_F
23.02.2020 01:28:57: 3h 8min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3551.49,3215.71,0](GPS: 035001)
23.02.2020 01:34:21: 3h 13min | Sherman(76561198038112694) | HealRepairNear
23.02.2020 01:39:10: 3h 18min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
23.02.2020 01:39:10: 3h 18min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
23.02.2020 01:44:58: 3h 24min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_huracan_18_SPD_P]
23.02.2020 01:45:04: 3h 24min | [1k-40] Jose Santana(76561198206026112) | locked - [d3s_huracan_18_SPD_P]
23.02.2020 01:45:22: 3h 24min | Sherman(76561198038112694) | spawning Savana Prisoner Transport Vehicle'05 (d3s_savana_PSV)
23.02.2020 01:45:39: 3h 25min | Sherman(76561198038112694) | locked - [d3s_savana_PSV]
23.02.2020 01:45:39: 3h 25min | Sherman(76561198038112694) | unlocked - [d3s_savana_PSV]
23.02.2020 01:45:40: 3h 25min | Sherman(76561198038112694) | locked - [d3s_savana_PSV]
23.02.2020 01:45:40: 3h 25min | Sherman(76561198038112694) | unlocked - [d3s_savana_PSV]
23.02.2020 01:45:41: 3h 25min | Sherman(76561198038112694) | locked - [d3s_savana_PSV]
23.02.2020 01:45:41: 3h 25min | Sherman(76561198038112694) | unlocked - [d3s_savana_PSV]
23.02.2020 01:46:15: 3h 25min | [1k-40] Jose Santana(76561198206026112) | locked - [d3s_savana_PSV]
23.02.2020 01:55:51: 3h 35min | Donnie Turbo(76561198041233395) | HealRepairNear
23.02.2020 02:12:04: 3h 51min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_7(76561198272370927)
23.02.2020 02:17:12: 3h 56min | Sherman(76561198038112694) | Teleport to [3669.68,3240.58,0](GPS: 036001)
23.02.2020 02:28:07: 4h 7min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Peppe Valachi(76561198272370927) - C_man_1
23.02.2020 02:28:44: 4h 8min | [1k-40] Jose Santana(76561198206026112) | God Mode - 1
23.02.2020 02:39:36: 4h 19min | Sherman(76561198038112694) | HealRepairNear
