24.01.2020 01:24:20: 27h 44min | [1k-40] Jose Santana(76561198206026112) | Kill - civ_5(76561198041233395)
24.01.2020 01:24:25: 27h 45min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_5()
24.01.2020 01:24:30: 27h 45min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_5()
24.01.2020 01:24:37: 27h 45min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_5(76561198041233395)
24.01.2020 01:24:57: 27h 45min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
24.01.2020 01:25:54: 27h 46min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
24.01.2020 01:28:43: 27h 49min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_5(76561198041233395)
24.01.2020 01:29:26: 27h 50min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:29:28: 27h 50min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:30:30: 27h 51min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:30:35: 27h 51min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:31:08: 27h 51min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:31:11: 27h 51min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:32:43: 27h 53min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
24.01.2020 01:35:47: 27h 56min | Donnie Turbo(76561198041233395) | DayTime
24.01.2020 01:36:13: 27h 56min | [1k-40] Jose Santana(76561198206026112) | NightTime
24.01.2020 01:36:46: 27h 57min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
24.01.2020 01:36:46: 27h 57min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
24.01.2020 01:39:56: 28h 0min | Donnie Turbo(76561198041233395) | Killing Donnie Turbo(76561198041233395) @038000
24.01.2020 01:39:56: 28h 0min | Donnie Turbo(76561198041233395) | Kill - civ_4(76561198041233395)
24.01.2020 01:40:11: 28h 0min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_4(76561198041233395)
24.01.2020 01:40:14: 28h 0min | [1k-40] Jose Santana(76561198206026112) | Teleport - Me To Target - Donnie Turbo [CIV](76561198041233395)
24.01.2020 01:40:18: 28h 0min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
24.01.2020 01:44:10: 28h 4min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_camry_18_UNM]
24.01.2020 01:44:10: 28h 4min | [1k-40] Jose Santana(76561198206026112) | locked - [d3s_camry_18_UNM]
24.01.2020 01:44:15: 28h 4min | [1k-40] Jose Santana(76561198206026112) | unlocked - [V12_YZF_VO]
24.01.2020 01:44:15: 28h 4min | [1k-40] Jose Santana(76561198206026112) | locked - [V12_YZF_VO]
